product_variant_id,raw_material_id,quantity_used,created_at,updated_at
34,4,180,2025-10-10 09:00:00,2026-01-10 10:00:00
36,33,18,2025-10-10 09:00:00,2026-01-10 10:00:00
36,4,180,2025-10-10 09:00:00,2026-01-10 10:00:00
36,38,30,2025-10-10 09:00:00,2026-01-10 10:00:00
38,33,18,2025-10-10 09:00:00,2026-01-10 10:00:00
38,4,180,2025-10-10 09:00:00,2026-01-10 10:00:00
38,35,18,2025-10-10 09:00:00,2026-01-10 10:00:00
35,33,18,2025-10-10 09:00:00,2026-01-10 10:00:00
35,4,220,2025-10-10 09:00:00,2026-01-10 10:00:00
37,33,18,2025-10-10 09:00:00,2026-01-10 10:00:00
37,4,220,2025-10-10 09:00:00,2026-01-10 10:00:00
37,38,35,2025-10-10 09:00:00,2026-01-10 10:00:00
39,33,18,2025-10-10 09:00:00,2026-01-10 10:00:00
39,4,220,2025-10-10 09:00:00,2026-01-10 10:00:00
39,35,20,2025-10-10 09:00:00,2026-01-10 10:00:00
40,40,180,2025-10-10 09:00:00,2026-01-10 10:00:00
40,4,60,2025-10-10 09:00:00,2026-01-10 10:00:00
52,35,25,2025-10-10 09:00:00,2026-01-10 10:00:00
52,4,180,2025-10-10 09:00:00,2026-01-10 10:00:00
53,35,28,2025-10-10 09:00:00,2026-01-10 10:00:00
53,4,220,2025-10-10 09:00:00,2026-01-10 10:00:00
54,34,18,2025-10-10 09:00:00,2026-01-10 10:00:00
54,4,180,2025-10-10 09:00:00,2026-01-10 10:00:00
55,34,20,2025-10-10 09:00:00,2026-01-10 10:00:00
55,4,220,2025-10-10 09:00:00,2026-01-10 10:00:00
60,4,180,2025-10-10 09:00:00,2026-01-10 10:00:00
61,4,220,2025-10-10 09:00:00,2026-01-10 10:00:00
62,41,40,2025-10-10 09:00:00,2026-01-10 10:00:00
63,41,45,2025-10-10 09:00:00,2026-01-10 10:00:00
64,42,45,2025-10-10 09:00:00,2026-01-10 10:00:00
65,43,45,2025-10-10 09:00:00,2026-01-10 10:00:00
66,44,45,2025-10-10 09:00:00,2026-01-10 10:00:00
67,45,45,2025-10-10 09:00:00,2026-01-10 10:00:00
76,46,120,2025-10-10 09:00:00,2026-01-10 10:00:00
77,46,120,2025-10-10 09:00:00,2026-01-10 10:00:00
77,48,40,2025-10-10 09:00:00,2026-01-10 10:00:00
77,35,18,2025-10-10 09:00:00,2026-01-10 10:00:00
77,54,20,2025-10-10 09:00:00,2026-01-10 10:00:00
78,46,120,2025-10-10 09:00:00,2026-01-10 10:00:00
78,48,40,2025-10-10 09:00:00,2026-01-10 10:00:00
78,51,50,2025-10-10 09:00:00,2026-01-10 10:00:00
78,52,15,2025-10-10 09:00:00,2026-01-10 10:00:00
79,46,120,2025-10-10 09:00:00,2026-01-10 10:00:00
79,48,40,2025-10-10 09:00:00,2026-01-10 10:00:00
79,49,1,2025-10-10 09:00:00,2026-01-10 10:00:00
80,46,120,2025-10-10 09:00:00,2026-01-10 10:00:00
80,48,40,2025-10-10 09:00:00,2026-01-10 10:00:00
80,50,1,2025-10-10 09:00:00,2026-01-10 10:00:00
81,47,150,2025-10-10 09:00:00,2026-01-10 10:00:00
82,47,150,2025-10-10 09:00:00,2026-01-10 10:00:00
83,47,150,2025-10-10 09:00:00,2026-01-10 10:00:00
84,47,150,2025-10-10 09:00:00,2026-01-10 10:00:00
85,47,150,2025-10-10 09:00:00,2026-01-10 10:00:00
