id,product_id,name,price,sku,created_at,updated_at
54,40,Hot 12oz,130.0,NC-40-Hot12,2025-10-10 09:00:00,2026-01-10 10:00:00
55,40,Iced 22oz,170.0,NC-40-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
56,41,Iced 22oz,150.0,NC-41-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
57,42,Iced 22oz,150.0,NC-42-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
58,43,Iced 22oz,165.0,NC-43-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
59,44,Iced 22oz,150.0,NC-44-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
60,45,Hot 12oz,140.0,NC-45-Hot12,2025-10-10 09:00:00,2026-01-10 10:00:00
61,45,Iced 22oz,175.0,NC-45-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
62,46,Hot 12oz,80.0,LEM-46-Hot12,2025-10-10 09:00:00,2026-01-10 10:00:00
63,46,Iced 22oz,85.0,LEM-46-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
64,47,Iced 22oz,100.0,LEM-47-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
65,48,Iced 22oz,100.0,LEM-48-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
66,49,Iced 22oz,100.0,LEM-49-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
67,50,Iced 22oz,130.0,LEM-50-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
68,51,Regular 22oz,225.0,IB-51,2025-10-10 09:00:00,2026-01-10 10:00:00
69,52,Regular 22oz,225.0,IB-52,2025-10-10 09:00:00,2026-01-10 10:00:00
70,53,Regular 22oz,240.0,IB-53,2025-10-10 09:00:00,2026-01-10 10:00:00
71,54,Regular 22oz,205.0,IB-54,2025-10-10 09:00:00,2026-01-10 10:00:00
72,55,Regular 22oz,205.0,IB-55,2025-10-10 09:00:00,2026-01-10 10:00:00
73,56,Regular 22oz,205.0,IB-56,2025-10-10 09:00:00,2026-01-10 10:00:00
74,57,Regular 22oz,205.0,IB-57,2025-10-10 09:00:00,2026-01-10 10:00:00
75,58,Regular 22oz,205.0,IB-58,2025-10-10 09:00:00,2026-01-10 10:00:00
76,59,Regular,80.0,CREPE-59,2025-10-10 09:00:00,2026-01-10 10:00:00
77,60,Regular,145.0,CREPE-60,2025-10-10 09:00:00,2026-01-10 10:00:00
78,61,Regular,145.0,CREPE-61,2025-10-10 09:00:00,2026-01-10 10:00:00
79,62,Regular,145.0,CREPE-62,2025-10-10 09:00:00,2026-01-10 10:00:00
80,63,Regular,145.0,CREPE-63,2025-10-10 09:00:00,2026-01-10 10:00:00
81,64,Regular,120.0,WAFFLE-64,2025-10-10 09:00:00,2026-01-10 10:00:00
82,65,Regular,185.0,WAFFLE-65,2025-10-10 09:00:00,2026-01-10 10:00:00
83,66,Regular,185.0,WAFFLE-66,2025-10-10 09:00:00,2026-01-10 10:00:00
84,67,Regular,185.0,WAFFLE-67,2025-10-10 09:00:00,2026-01-10 10:00:00
85,68,Regular,185.0,WAFFLE-68,2025-10-10 09:00:00,2026-01-10 10:00:00
