Product,Unit,Forecast7Days,DailyDemand,MAE,RMSE,MAPE,SMAPE,CurrentStock,LeadTime,SafetyStock,HasInventoryData,LeadTimeDemand,ReorderPoint,DaysRemaining,StockoutDay,RecommendedPurchase,BuyOnNextRun,ProjectedRemaining,Priority,Recommendation
Fresh Milk,L,71.9,10.27,1.87,2.39,15.11,15.73,30,3,15,True,30.81,45.81,2.9,4.0,57,Yes,15.1,High,Restock 57 L on the next stock run; current stock reaches zero by forecast day 4.
Bottled Water,pcs,57.0,8.14,3.33,3.75,59.19,39.38,38,3,16,True,24.42,40.42,4.7,5.0,35,Yes,16.0,Medium,Restock 35 pcs on the next stock run; current stock reaches zero by forecast day 5.
Rice,kg,43.64,6.23,1.21,1.44,18.72,17.75,38,3,16,True,18.69,34.69,6.1,7.0,22,Yes,16.36,Medium,Restock 22 kg on the next stock run; current stock reaches zero by forecast day 7.
Tortilla,pcs,28.57,4.08,1.69,2.0,28.66,46.35,35,5,18,True,20.4,38.4,8.6,,12,Yes,18.43,Low,Restock 12 pcs on the next stock run to cover the forecast and safety stock.
Crepe Batter,kg,10.6,1.51,0.42,0.52,31.0,32.7,20,5,20,True,7.55,27.55,13.2,,11,Yes,20.4,Low,Restock 11 kg on the next stock run to cover the forecast and safety stock.
Tomato Sauce,L,15.39,2.2,0.47,0.55,27.93,25.55,28,4,18,True,8.8,26.8,12.7,,6,Yes,18.61,Low,Restock 6 L on the next stock run to cover the forecast and safety stock.
Ground Beef,kg,9.1,1.3,0.43,0.49,33.77,30.1,18,5,12,True,6.5,18.5,13.8,,4,Yes,12.9,Low,Restock 4 kg on the next stock run to cover the forecast and safety stock.
Butterfly Pea Tea,L,3.11,0.44,0.12,0.13,54.83,53.76,22,5,20,True,2.2,22.2,50.0,,2,Yes,20.89,Low,Restock 2 L on the next stock run to cover the forecast and safety stock.
Mango,kg,4.2,0.6,0.24,0.3,49.16,35.62,18,4,15,True,2.4,17.4,30.0,,2,Yes,15.8,Low,Restock 2 kg on the next stock run to cover the forecast and safety stock.
Beef Tapa,kg,0.8,0.11,0.24,0.31,31.86,27.06,25,4,18,True,0.44,18.44,227.3,,0,No,24.2,Healthy,Inventory is sufficient.
Chicken Breast,kg,7.19,1.03,0.3,0.39,32.31,27.63,60,2,15,True,2.06,17.06,58.3,,0,No,52.81,Healthy,Inventory is sufficient.
Chicken Wings,kg,31.29,4.47,1.07,1.26,25.91,22.96,75,2,18,True,8.94,26.94,16.8,,0,No,43.71,Healthy,Inventory is sufficient.
Coffee Beans,kg,5.04,0.72,0.11,0.14,14.69,13.85,28,4,18,True,2.88,20.88,38.9,,0,No,22.96,Healthy,Inventory is sufficient.
Cold Brew Concentrate,L,6.619999999999999,0.95,0.38,0.47,40.93,35.35,35,5,18,True,4.75,22.75,36.8,,0,No,28.38,Healthy,Inventory is sufficient.
Cream,L,2.31,0.33,0.11,0.13,38.91,32.57,41,3,18,True,0.99,18.99,124.2,,0,No,38.69,Healthy,Inventory is sufficient.
Lasagna Sheets,kg,2.15,0.31,0.16,0.19,45.15,35.04,40,2,12,True,0.62,12.62,129.0,,0,No,37.85,Healthy,Inventory is sufficient.
Longganisa,kg,7.08,1.01,0.3,0.35,31.7,31.69,35,3,15,True,3.03,18.03,34.7,,0,No,27.92,Healthy,Inventory is sufficient.
Nacho Chips,kg,5.12,0.73,0.36,0.43,56.0,69.28,45,3,18,True,2.19,20.19,61.6,,0,No,39.88,Healthy,Inventory is sufficient.
Pesto Sauce,L,1.75,0.25,0.08,0.1,38.98,33.43,55,3,22,True,0.75,22.75,220.0,,0,No,53.25,Healthy,Inventory is sufficient.
Pork Tocino,kg,6.58,0.94,0.29,0.33,42.92,39.38,25,4,18,True,3.76,21.76,26.6,,0,No,18.42,Healthy,Inventory is sufficient.
Potatoes,kg,8.969999999999999,1.28,0.27,0.35,20.75,19.63,80,2,15,True,2.56,17.56,62.5,,0,No,71.03,Healthy,Inventory is sufficient.
Shrimp,kg,1.41,0.2,0.09,0.1,30.84,47.28,22,5,20,True,1.0,21.0,110.0,,0,No,20.59,Healthy,Inventory is sufficient.
Spaghetti Pasta,kg,10.85,1.55,0.58,0.65,41.84,34.67,44,3,20,True,4.65,24.65,28.4,,0,No,33.15,Healthy,Inventory is sufficient.
Spanish Sardines,kg,1.4000000000000001,0.2,0.12,0.13,54.68,64.21,60,2,15,True,0.4,15.4,300.0,,0,No,58.6,Healthy,Inventory is sufficient.
Tuna Flakes,kg,2.39,0.34,0.15,0.17,41.29,44.13,50,3,20,True,1.02,21.02,147.1,,0,No,47.61,Healthy,Inventory is sufficient.
Waffle Batter,kg,4.49,0.64,0.22,0.31,23.62,33.75,41,3,18,True,1.92,19.92,64.1,,0,No,36.51,Healthy,Inventory is sufficient.
